no,domain,AR,ratio,vol-frac,r0-frac,htarget,mg-levels,qval,max-jd-size,max-gmres-size,n-mesh-refine,max-iter,eig-scale
1,cantilever,1,1,0.4,0.0625,0.5,5,5,100,30,1,300,1
2,cantilever,2,1,0.4,0.0625,0.5,5,5,100,30,1,300,10
3,cantilever,3,1,0.4,0.0625,0.5,5,5,100,30,1,300,10
4,cantilever,4,1,0.4,0.0625,0.5,5,5,100,30,1,300,100
5,cantilever,5,1,0.4,0.0625,0.5,5,5,100,30,1,300,100
6,michell,1,1,0.4,0.0625,0.5,5,5,100,30,1,300,1
7,michell,2,1,0.4,0.0625,0.5,5,5,100,30,1,300,10
8,michell,3,1,0.4,0.0625,0.5,5,5,100,30,1,300,10
9,michell,4,1,0.4,0.0625,0.5,5,5,100,30,1,300,100
10,michell,5,1,0.4,0.0625,0.5,5,5,100,30,1,300,100
11,mbb,0.5,1,0.4,0.0625,0.5,5,5,100,30,1,300,1
12,mbb,1,1,0.4,0.0625,0.5,5,5,100,30,1,300,10
13,mbb,1.5,1,0.4,0.0625,0.5,5,5,100,30,1,300,10
14,mbb,2,1,0.4,0.0625,0.5,5,5,100,30,1,300,100
15,mbb,2.5,1,0.4,0.0625,0.5,5,5,100,30,1,300,100
16,lbracket,1,0.7,0.4,0.0875,0.35,4,5,100,30,1,300,1
17,lbracket,1,0.6,0.4,0.075,0.3,4,5,100,30,1,300,1
18,lbracket,1,0.5,0.4,0.0625,0.25,4,5,100,30,1,300,1
19,lbracket,1,0.4,0.4,0.05,0.2,4,5,100,30,1,300,10
20,lbracket,1,0.3,0.4,0.0375,0.15,4,5,100,30,1,300,10